DrugBank_Name	DrugBank_ID	Synonyms	Targets_List_STRINGIDs	Targets_List_GeneNames	Targets_List
felodipine	DB01023	"(â±)-ethyl methyl 4-(2,3-dichlorophenyl)-1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate | 3-ethyl 5-methyl 4-(2,3-dichlorophenyl)-2,6-dimethyl-1,4-dihydro-3,5-pyridinedicarboxylate | 4-(2,3-dichlorophenyl)-1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylic acid ethyl methyl ester | felodipina | felodipine | felodipino | felodipinum"	"9606.ENSP00000291295, 9606.ENSP00000266376, 9606.ENSP00000350815, 9606.ENSP00000349320, 9606.ENSP00000334198, 9606.ENSP00000232975, 9606.ENSP00000320025, 9606.ENSP00000355192, 9606.ENSP00000288139, 9606.ENSP00000418081, 9606.ENSP00000243052, 9606.ENSP00000410309, 9606.ENSP00000361636"	"CALM1, CACNA1C, NR3C2, CACNA2D1, CACNA1H, TNNC1, CACNB2, CACNA1S, CACNA1D, CACNA2D2, PDE1B, PDE1A, TNNC2"	"P0DP23, Q13936, P08235, P54289, O95180, P63316, Q08289, Q13698, Q01668, Q9NY47, Q01064, P54750, P02585"
mycophenolic acid	DB01024	(e)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-5-phthalanyl)-4-methyl-4-hexenoic acid | acide mycophenolique | acido micofenolico | acidum mycophenolicum | micofenolico acido | mycophenolate | mycophenolic acid | mycophenolsã¤ure	"9606.ENSP00000321584, 9606.ENSP00000345096"	"IMPDH2, IMPDH1"	"P12268, P20839"
amlexanox	DB01025	"2-amino-7-isopropyl-5-oxo-5h-(1)benzopyrano(2,3-b)pyridine-3-carboxylic acid | amlexanox | amlexanoxo | amlexanoxum | amoxanox"	"9606.ENSP00000296870, 9606.ENSP00000480791, 9606.ENSP00000392767, 9606.ENSP00000357726"	"IL3, FGF1, S100A13, S100A12"	"P08700, P05230, Q99584, P80511"
ketoconazole	DB01026	ketoconazol | ketoconazole | ketoconazolum | ketozole	"9606.ENSP00000262186, 9606.ENSP00000363822, 9606.ENSP00000358903, 9606.ENSP00000336528, 9606.ENSP00000356959, 9606.ENSP00000496625"	"KCNH2, AR, CYP17A1, NR1I2, NR1I3, CYP21A2"	"Q12809, P10275, P05093, O75469, Q14994, P08686"
methoxyflurane	DB01028	"methoflurane | methoxyfluoran | methoxyfluran | methoxyflurane | methoxyfluranum | methyl 1,1-difluoro-2,2-dichloroethyl ether | metoxiflurano"	"9606.ENSP00000421326, 9606.ENSP00000411593, 9606.ENSP00000354687, 9606.ENSP00000428994, 9606.ENSP00000371985, 9606.ENSP00000393097, 9606.ENSP00000393097, 9606.ENSP00000427603, 9606.ENSP00000359337, 9606.ENSP00000264318, 9606.ENSP00000382953, 9606.ENSP00000274545, 9606.ENSP00000295454, 9606.ENSP00000274547, 9606.ENSP00000308725, 9606.ENSP00000367848, 9606.ENSP00000359353, 9606.ENSP00000295452, 9606.ENSP00000410732, 9606.ENSP00000479113, 9606.ENSP00000430100, 9606.ENSP00000469332"	"ATP2C1, GLRA1, MT-ND1, GRIA1, KCNA1, GABRA1, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ"	"P98194, P23415, P03886, P42261, Q09470, P14867, P14867, P47869, P34903, P48169, P31644, Q16445, P18505, P47870, P28472, O14764, P78334, Q8N1C3, P18507, Q99928, O00591, Q9UN88"
irbesartan	DB01029	"2-butyl-3-{[2'-(1h-tetrazol-5-yl)biphenyl-4-yl]methyl}-1,3-diazaspiro[4.4]non-1-en-4-one | irbesartan"	"9606.ENSP00000398832, 9606.ENSP00000360266"	"AGTR1, JUN"	"P30556, P05412"
topotecan	DB01030	9-[(dimethylamino)methyl]-10-hydroxy-(4s)-camptothecin | topotecan | topotecane | topotecanum	"9606.ENSP00000328835, 9606.ENSP00000354522"	"TOP1MT, TOP1"	"Q969P6, P11387"
ethinamate	DB01031	1-ethynylcyclohexanol carbamate | aethinyl-cyclohexyl-carbamat | ethinamate | ethinamatum | etinamato	"9606.ENSP00000430656, 9606.ENSP00000285379"	"CA1, CA2"	"P00915, P00918"
probenecid	DB01032	"4-((dipropylamino)sulfonyl)benzoic acid | 4-(di-n-propylsulfamoyl)benzoesã¤ure | 4-(n,n-dipropylsulfamoyl)benzoesã¤ure | p-(dipropylsulfamoyl)benzoic acid | probenecid | probenecid acid | probenecida | probenecide | probenecidum"	"9606.ENSP00000301891, 9606.ENSP00000367102, 9606.ENSP00000337335, 9606.ENSP00000227638, 9606.ENSP00000249284"	"SLC22A11, SLC22A6, SLC22A8, PANX1, TAS2R16"	"Q9NSA0, Q4U2R8, Q8TCC7, Q96RD7, Q9NYV7"
mercaptopurine	DB01033	"1,9-dihydro-6h-purine-6-thione | 6 mp | 6-mercaptopurine | 6-mp | 6-thiohypoxanthine | 6-thioxopurine | mercaptopurina | mercaptopurine | mercaptopurine anhydrous | mercaptopurinum | mercapurin"	"9606.ENSP00000298556, 9606.ENSP00000264220, 9606.ENSP00000345096, 9606.ENSP00000321584"	"HPRT1, PPAT, IMPDH1, IMPDH2"	"P00492, Q06203, P20839, P12268"
cerulenin	DB01034	"(2r,3s)-3-((4e,7e)-nona-4,7-dienoyl)-oxirane-2-carboxylic acid amide | (2r,3s)-3-((4e,7e)-nona-4,7-dienoyl)oxirane-2-carboxamide | cerulenin"	9606.ENSP00000304592	FASN	P49327
procainamide	DB01035	p-amino-n-(2-diethylaminoethyl)benzamide | p-aminobenzoic diethylaminoethylamide | procainamida | procainamide | procaã¯namide | procainamidum	"9606.ENSP00000262186, 9606.ENSP00000328968, 9606.ENSP00000352516"	"KCNH2, SCN5A, DNMT1"	"Q12809, Q14524, P26358"
tolterodine	DB01036	(+)-(r)-2-(alpha-(2-(diisopropylamino)ethyl)benzyl)-p-cresol | (+)-tolterodine | tolterodina | tolterodine | tolterodinum	"9606.ENSP00000255380, 9606.ENSP00000306490, 9606.ENSP00000372750, 9606.ENSP00000409378, 9606.ENSP00000399745"	"CHRM3, CHRM1, CHRM5, CHRM4, CHRM2"	"P20309, P11229, P08912, P08173, P08172"
selegiline	DB01037	(â)-selegiline | l-deprenalin | selegilina | selegiline | selegilinum	"9606.ENSP00000367309, 9606.ENSP00000340684"	"MAOB, MAOA"	"P27338, P21397"
carphenazine	DB01038	carfenazina | carfã©nazine | carfenazine | carfenazinum | carphenazine	"9606.ENSP00000377353, 9606.ENSP00000306129, 9606.ENSP00000354859"	"DRD1, DRD5, DRD2"	"P21728, P21918, P14416"
fenofibrate	DB01039	2-(4-(4-chlorobenzoyl)phenoxy)-2-methylpropanoic acid 1-methylethyl ester | fenofibrate | fenofibrato | fenofibratum | finofibrate | fnf | isopropyl (4'-(p-chlorobenzoyl)-2-phenoxy-2-methyl)propionate | isopropyl 2-(4-(4-chlorobenzoyl)phenoxy)-2-methylpropionate | procetofen	"9606.ENSP00000385523, 9606.ENSP00000336528, 9606.ENSP00000337816"	"PPARA, NR1I2, MMP25"	"Q07869, O75469, Q9NPA2"
thalidomide	DB01041	"(+-)-n-(2,6-dioxo-3-piperidyl)phthalimide | (+-)-thalidomide | (â±)-n-(2,6-dioxo-3-piperidyl)phthalimide | (â±)-thalidomide | 1,3-dioxo-2-(2,6-dioxopiperidin-3-yl)isoindoline | 2,6-dioxo-3-phthalimidopiperidine | 3-phthalimidoglutarimide | alpha-(n-phthalimido)glutarimide | alpha-n-phthalylglutaramide | n-(2,6-dioxo-3-piperidyl)phthalimide | n-phthaloylglutamimide | n-phthalyl-glutaminsaeure-imid | n-phthalylglutamic acid imide | talidomida | thalidomide | thalidomidum | î±-(n-phthalimido)glutarimide | î±-n-phthalylglutaramide | î±-phthalimidoglutarimide"	"9606.ENSP00000231948, 9606.ENSP00000259396, 9606.ENSP00000394936"	"CRBN, ORM1, ORM2"	"Q96SW2, P02763, P19652"
memantine	DB01043	"1-amino-3,5-dimethyladamantane | 1,3-dimethyl-5-adamantanamine | 3,5-dimethyl-1-adamantanamine | 3,5-dimethyl-1-aminoadamantane | 3,5-dimethyltricyclo(3.3.1.1(3,7))decan-1-amine | memantina | memantine | memantinum"	"9606.ENSP00000347754, 9606.ENSP00000360608, 9606.ENSP00000354859, 9606.ENSP00000407546, 9606.ENSP00000393097, 9606.ENSP00000427603, 9606.ENSP00000359337, 9606.ENSP00000264318, 9606.ENSP00000382953, 9606.ENSP00000274545, 9606.ENSP00000295454, 9606.ENSP00000274547, 9606.ENSP00000308725, 9606.ENSP00000367848, 9606.ENSP00000359353, 9606.ENSP00000295452, 9606.ENSP00000410732, 9606.ENSP00000479113, 9606.ENSP00000430100, 9606.ENSP00000469332, 9606.ENSP00000360608, 9606.ENSP00000332549, 9606.ENSP00000477455, 9606.ENSP00000293190, 9606.ENSP00000263269, 9606.ENSP00000355155, 9606.ENSP00000234389, 9606.ENSP00000411593, 9606.ENSP00000218075, 9606.ENSP00000274093, 9606.ENSP00000264428"	"HTR3A, GRIN1, DRD2, CHRNA7, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GLRA1, GLRA2, GLRA3, GLRB"	"P46098, Q05586, P14416, P36544, P14867, P47869, P34903, P48169, P31644, Q16445, P18505, P47870, P28472, O14764, P78334, Q8N1C3, P18507, Q99928, O00591, Q9UN88, Q05586, Q12879, Q13224, Q14957, O15399, Q8TCU5, O60391, P23415, P23416, O75311, Q5JXX5, P48167"
rifampicin	DB01045	3-(((4-methyl-1-piperazinyl)imino)methyl)rifamycin sv | rfp | rifampicin | rifampicina | rifampicine | rifampicinum | rifampin	9606.ENSP00000336528	NR1I2	O75469
lubiprostone	DB01046	lubiprostone	9606.ENSP00000265593	CLCN2	P51788
fluocinonide	DB01047	fluocinonida | fluocinonide | fluocinonido | fluocinonidum	"9606.ENSP00000231509, 9606.ENSP00000249373"	"NR3C1, SMO"	"P04150, Q99835"
abacavir	DB01048	{(1s-cis)-4-[2-amino-6-(cyclopropylamino)-9h-purin-9-yl]cyclopent-2-en-1-yl}methanol | abacavir | abc 	9606.ENSP00000399168	HLA-B	P01889
ergoloid mesylate	DB01049	co-dergocrine mesilate | co-dergocrine mesylate | co-dergocrine methanesulfonate | codergocrine mesilate | codergocrine mesylate | codergocrine methanesulfonate | dihydroergotoxine mesilate | dihydroergotoxine mesylate | dihydroergotoxine methanesulfonate | dihydroergotoxine methanesulfonates | dihydroergotoxine monomethanesulfonate | dihydrogenated ergot alkaloids | ergoloid mesilates | ergoloid mesylates | ergoloid methanesulfonate | ergoloid methanesulfonates | hydrogenated ergot alkaloids	"9606.ENSP00000316244, 9606.ENSP00000358963, 9606.ENSP00000363748, 9606.ENSP00000307766, 9606.ENSP00000322924, 9606.ENSP00000437737, 9606.ENSP00000258400, 9606.ENSP00000276198, 9606.ENSP00000347754, 9606.ENSP00000260191, 9606.ENSP00000322617, 9606.ENSP00000371929, 9606.ENSP00000406050, 9606.ENSP00000353915, 9606.ENSP00000289753, 9606.ENSP00000337949, 9606.ENSP00000358301, 9606.ENSP00000305372, 9606.ENSP00000343782, 9606.ENSP00000369960, 9606.ENSP00000306662, 9606.ENSP00000368766, 9606.ENSP00000280155, 9606.ENSP00000480573, 9606.ENSP00000386069, 9606.ENSP00000377353, 9606.ENSP00000306129, 9606.ENSP00000354859, 9606.ENSP00000373169, 9606.ENSP00000176183"	"HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR3A, HTR3B, HTR3C, HTR3D, HTR3E, HTR4, HTR6, HTR7, ADRB1, ADRB2, ADRB3, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD5, DRD2, DRD3, DRD4"	"P08908, P28222, P28221, P28566, P30939, P28223, P41595, P28335, P46098, O95264, Q8WXA8, Q70Z44, A5X5Y0, Q13639, P50406, P34969, P08588, P07550, P13945, P35348, P35368, P25100, P08913, P18089, P18825, P21728, P21918, P14416, P35462, P21917"
ibuprofen	DB01050	(â±)-2-(p-isobutylphenyl)propionic acid | (â±)-ibuprofen | (â±)-p-isobutylhydratropic acid | (â±)-î±-methyl-4-(2-methylpropyl)benzeneacetic acid | (4-isobutylphenyl)-î±-methylacetic acid | (rs)-ibuprofen | 2-(4-isobutylphenyl)propanoic acid | 4-isobutylhydratropic acid | ibuprofen | ibuprofene | ibuprofeno | ibuprofenum | ibuprophen | î±-(4-isobutylphenyl)propionic acid | î±-(p-isobutylphenyl)propionic acid	"9606.ENSP00000354612, 9606.ENSP00000385523, 9606.ENSP00000287820, 9606.ENSP00000381185, 9606.ENSP00000356438, 9606.ENSP00000329380, 9606.ENSP00000366307, 9606.ENSP00000003084, 9606.ENSP00000274024, 9606.ENSP00000357711"	"PTGS1, PPARA, PPARG, BCL2, PTGS2, GP1BA, THBD, CFTR, FABP2, S100A7"	"P23219, Q07869, P37231, P10415, P35354, P07359, P07204, P13569, P12104, P31151"
benzylpenicillin	DB01053	"(2s,5r,6r)-3,3-dimethyl-7-oxo-6-(phenylacetamido)-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid | 6-(2-phenylacetamido)penicillanic acid | bencilpenicilina | bensylpenicillin | benzyl benicillin | benzylpenicillin | benzylpã©nicilline | benzylpenicillinic acid | benzylpenicillinum | free penicillin ii | pcg | penicillin g | pg"	"9606.ENSP00000365686, 9606.ENSP00000417085, 9606.ENSP00000337335"	"SLC15A1, SLC15A2, SLC22A8"	"P46059, Q16348, Q8TCC7"
nitrendipine	DB01054	"1,4-dihydro-2,6-dimethyl-4-(3-nitrophenyl)-3,5-pyridinedicarboxylic acid ethyl methyl ester | nitrendipine | nitrendipino | nitrendipinum"	"9606.ENSP00000266376, 9606.ENSP00000349320, 9606.ENSP00000334198, 9606.ENSP00000320025, 9606.ENSP00000355192, 9606.ENSP00000288139, 9606.ENSP00000418081, 9606.ENSP00000286628, 9606.ENSP00000274629, 9606.ENSP00000407592, 9606.ENSP00000319370, 9606.ENSP00000258111, 9606.ENSP00000496939, 9606.ENSP00000476519, 9606.ENSP00000264773, 9606.ENSP00000481848, 9606.ENSP00000266376, 9606.ENSP00000288139, 9606.ENSP00000365441, 9606.ENSP00000355192, 9606.ENSP00000377840, 9606.ENSP00000320025, 9606.ENSP00000301050, 9606.ENSP00000438949, 9606.ENSP00000489829"	"CACNA1C, CACNA2D1, CACNA1H, CACNB2, CACNA1S, CACNA1D, CACNA2D2, KCNMA1, KCNMB1, KCNMB2, KCNMB3, KCNMB4, KCNN4, KCNN1, KCNN2, KCNN3, CACNA1C, CACNA1D, CACNA1F, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, CACNA1A"	"Q13936, P54289, O95180, Q08289, Q13698, Q01668, Q9NY47, Q12791, Q16558, Q9Y691, Q9NPA1, Q86W47, O15554, Q92952, Q9H2S1, Q9UGI6, Q13936, Q01668, O60840, Q13698, Q02641, Q08289, P54284, O00305, O00555"
mimosine	DB01055	(l)-mimosine | (s)-2-amino-3-(3-hydroxy-4-oxo-4h-pyridin-1-yl)propanoate | l-mimosine | leucaenine | leucaenol | leucenine | leucenol | mimosin	"9606.ENSP00000263321, 9606.ENSP00000318868, 9606.ENSP00000225831"	"TYR, SHMT1, CCL2"	"P14679, P34896, P13500"
tocainide	DB01056	"2-amino-2',6'-propionoxylidide | 2-amino-n-(2,6-dimethylphenyl)propanamide | 2-amino-n-(2,6-dimethylphenyl)propionamid | alanyl-2,6-xylidide | tocainida | tocainide | tocainidum"	9606.ENSP00000328968	SCN5A	Q14524
echothiophate	DB01057	"2-(diethoxyphosphorylsulfanyl)ethyl-n,n,n-trimethylazanium iodide | echothiophate | ecothiopate | ecothiopatum | phospholine"	9606.ENSP00000264381	BCHE	P06276
norfloxacin	DB01059	"1-ethyl-6-fluor-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-chinolincarbonsã¤ure | 1-ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid | 1,4-dihydro-1-ethyl-6-fluoro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid | nflx | norfloxacin | norfloxacine | norfloxacino | norfloxacinum"	"9606.ENSP00000411532, 9606.ENSP00000411532, 9606.ENSP00000264331"	"TOP2A, TOP2A, TOP2B"	"P11388, P11388, Q02880"
oxybutynin	DB01062	4-(diethylamino)-2-butynyl alpha-phenylcyclohexaneglycolic acid ester | 4-diethylamino-2-butinyl alpha-cyclohexylmandelat | 4-diethylamino-2-butynyl alpha-phenylcyclohexaneglycolate | oxibutinina | oxybutynin | oxybutynine | oxybutyninum	"9606.ENSP00000255380, 9606.ENSP00000306490, 9606.ENSP00000399745"	"CHRM3, CHRM1, CHRM2"	"P20309, P11229, P08172"
acetophenazine	DB01063	acetophenazina | acetophenazine | acetophenazinum	"9606.ENSP00000363822, 9606.ENSP00000354859"	"AR, DRD2"	"P10275, P14416"
isoprenaline	DB01064	"(â±)-isoprenaline | (â±)-isoproterenol | 1-(3,4-dihydroxyphenyl)-2-(isopropylamino)ethanol | 1-(3,4-dihydroxyphenyl)-2-isopropylaminoethanol | 3,4-dihydroxy-î±-[(isopropylamino)methyl]benzyl alcohol | isoprenalina | isoprã©naline | isoprenaline | isoprenalinum | isopropyl noradrenaline | isoproterenol | n-isopropyl-î²-dihydroxyphenyl-î²-hydroxyethylamine | n-isopropylnoradrenaline | n-isopropylnorepinephrine | î±-(isopropylaminomethyl)protocatechuyl alcohol"	"9606.ENSP00000358301, 9606.ENSP00000305372, 9606.ENSP00000343782, 9606.ENSP00000270142"	"ADRB1, ADRB2, ADRB3, SOD1"	"P08588, P07550, P13945, P00441"
melatonin	DB01065	5-methoxy-n-acetyltryptamine | melatonin | melatonina | mã©latonine | n-[2-(5-methoxyindol-3-yl)ethyl]acetamide | n-acetyl-5-methoxytryptamine	"9606.ENSP00000405330, 9606.ENSP00000369822, 9606.ENSP00000257068, 9606.ENSP00000291295, 9606.ENSP00000302811, 9606.ENSP00000225275, 9606.ENSP00000320866, 9606.ENSP00000370639, 9606.ENSP00000366093, 9606.ENSP00000225371"	"ESR1, NQO2, MTNR1B, CALM1, MTNR1A, MPO, CALR, ASMT, RORB, EPX"	"P03372, P16083, P49286, P0DP23, P48039, P05164, P27797, P46597, Q92753, P11678"
glipizide	DB01067	1-cyclohexyl-3-({p-[2-(5-methylpyrazinecarboxamido)ethyl]phenyl}sulfonyl)urea | glipizida | glipizide | glipizidum | n-{4-[î²-(5-methylpyrazine-2-carboxamido)ethyl]benzenesulphonyl}-n'-cyclohexylurea	"9606.ENSP00000494321, 9606.ENSP00000287820"	"ABCC8, PPARG"	"Q09428, P37231"
clonazepam	DB01068	"1,3-dihydro-7-nitro-5-(2-chlorophenyl)-2h-1,4.benzodiazepin-2-one | 5-(2-chloro-phenyl)-7-nitro-1,3-dihydro-benzo[e][1,4]diazepin-2-one | 5-(2-chlorophenyl)-7-nitro-1h-benzo[e][1,4]diazepin-2(3h)-one | 5-(o-chlorophenyl)-7-nitro-1,3-dihydro-2h-1,4-benzodiazepin-2-one | clonazepam | clonazepamum"	"9606.ENSP00000336528, 9606.ENSP00000393097, 9606.ENSP00000427603, 9606.ENSP00000359337, 9606.ENSP00000264318, 9606.ENSP00000382953, 9606.ENSP00000274545, 9606.ENSP00000295454, 9606.ENSP00000274547, 9606.ENSP00000308725, 9606.ENSP00000367848, 9606.ENSP00000359353, 9606.ENSP00000295452, 9606.ENSP00000410732, 9606.ENSP00000479113, 9606.ENSP00000430100, 9606.ENSP00000469332, 9606.ENSP00000393097, 9606.ENSP00000427603, 9606.ENSP00000359337, 9606.ENSP00000382953, 9606.ENSP00000295452, 9606.ENSP00000410732, 9606.ENSP00000479113"	"NR1I2, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRA1, GABRA2, GABRA3, GABRA5, GABRG1, GABRG2, GABRG3"	"O75469, P14867, P47869, P34903, P48169, P31644, Q16445, P18505, P47870, P28472, O14764, P78334, Q8N1C3, P18507, Q99928, O00591, Q9UN88, P14867, P47869, P34903, P31644, Q8N1C3, P18507, Q99928"
promethazine	DB01069	"(2-dimethylamino-2-methyl)ethyl-n-dibenzoparathiazine | 10-(2-dimethylaminopropyl)phenothiazine | 10-[2-(dimethylamino)propyl]phenothiazine | n-(2'-dimethylamino-2'-methyl)ethylphenothiazine | n,n,alpha-trimethyl-10h-phenothiazine-10-ethanamine | n,n,î±-trimethyl-10h-phenothiazine-10-ethanamine | proazamine | prometazina | promethazine | promethazinum"	"9606.ENSP00000255380, 9606.ENSP00000306490, 9606.ENSP00000366506, 9606.ENSP00000372750, 9606.ENSP00000409378, 9606.ENSP00000291295, 9606.ENSP00000380247, 9606.ENSP00000399745, 9606.ENSP00000354859, 9606.ENSP00000369960, 9606.ENSP00000306662, 9606.ENSP00000368766, 9606.ENSP00000280155, 9606.ENSP00000480573, 9606.ENSP00000386069, 9606.ENSP00000303540, 9606.ENSP00000390600, 9606.ENSP00000499569, 9606.ENSP00000490107, 9606.ENSP00000283254, 9606.ENSP00000396320, 9606.ENSP00000328968, 9606.ENSP00000496114, 9606.ENSP00000346534, 9606.ENSP00000386306, 9606.ENSP00000408205, 9606.ENSP00000367691, 9606.ENSP00000225538, 9606.ENSP00000343339, 9606.ENSP00000263314, 9606.ENSP00000353032, 9606.ENSP00000225328, 9606.ENSP00000416193, 9606.ENSP00000330696, 9606.ENSP00000304767, 9606.ENSP00000323872, 9606.ENSP00000307259, 9606.ENSP00000320376, 9606.ENSP00000308361, 9606.ENSP00000310305, 9606.ENSP00000363643, 9606.ENSP00000370697, 9606.ENSP00000171757, 9606.ENSP00000371985, 9606.ENSP00000358786, 9606.ENSP00000487785, 9606.ENSP00000358784, 9606.ENSP00000328511, 9606.ENSP00000252321, 9606.ENSP00000280684, 9606.ENSP00000360806, 9606.ENSP00000430846, 9606.ENSP00000265969, 9606.ENSP00000449253, 9606.ENSP00000434241, 9606.ENSP00000358802, 9606.ENSP00000218176, 9606.ENSP00000333496, 9606.ENSP00000319591, 9606.ENSP00000382226, 9606.ENSP00000290310, 9606.ENSP00000310557, 9606.ENSP00000281830, 9606.ENSP00000361173, 9606.ENSP00000295082, 9606.ENSP00000360626, 9606.ENSP00000315654, 9606.ENSP00000304127, 9606.ENSP00000312129, 9606.ENSP00000271751, 9606.ENSP00000262186, 9606.ENSP00000257981, 9606.ENSP00000264661, 9606.ENSP00000321427, 9606.ENSP00000463533, 9606.ENSP00000331727, 9606.ENSP00000328813, 9606.ENSP00000155840, 9606.ENSP00000352035, 9606.ENSP00000373648, 9606.ENSP00000262916, 9606.ENSP00000345055, 9606.ENSP00000445595, 9606.ENSP00000385968, 9606.ENSP00000435954, 9606.ENSP00000371514, 9606.ENSP00000419952, 9606.ENSP00000367323"	"CHRM3, CHRM1, HRH2, CHRM5, CHRM4, CALM1, HRH1, CHRM2, DRD2, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, SCN1A, SCN10A, SCN11A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A, LPAR4, LPAR6, P2RX1, P2RX2, P2RX3, P2RX4, P2RX5, P2RX6, P2RX7, P2RY1, P2RY11, P2RY12, P2RY13, P2RY14, P2RY2, P2RY4, P2RY8, P2RY10, KCNA1, KCNA10, KCNA2, KCNA3, KCNA4, KCNA5, KCNA6, KCNB1, KCNB2, KCNC1, KCNC2, KCNC3, KCNC4, KCND1, KCND2, KCND3, KCNE1, KCNE2, KCNE3, KCNE4, KCNE5, KCNF1, KCNG1, KCNG2, KCNG3, KCNG4, KCNH1, KCNH2, KCNH3, KCNH4, KCNH5, KCNH6, KCNH7, KCNH8, KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5, KCNS1, KCNS3, KCNV1, KCNV2, KCNAB1, KCNAB2"	"P20309, P11229, P25021, P08912, P08173, P0DP23, P35367, P08172, P14416, P35348, P35368, P25100, P08913, P18089, P18825, P35498, Q9Y5Y9, Q9UI33, Q99250, Q9NY46, P35499, Q14524, Q01118, Q9UQD0, Q15858, Q99677, P43657, P51575, Q9UBL9, P56373, Q99571, Q93086, O15547, Q99572, P47900, Q96G91, Q9H244, Q9BPV8, Q15391, P41231, P51582, Q86VZ1, O00398, Q09470, Q16322, P16389, P22001, P22459, P22460, P17658, Q14721, Q92953, P48547, Q96PR1, Q14003, Q03721, Q9NSA2, Q9NZV8, Q9UK17, P15382, Q9Y6J6, Q9Y6H6, Q8WWG9, Q9UJ90, Q9H3M0, Q9UIX4, Q9UJ96, Q8TAE7, Q8TDN1, O95259, Q12809, Q9ULD8, Q9UQ05, Q8NCM2, Q9H252, Q9NS40, Q96L42, P51787, O43526, O43525, P56696, Q9NR82, Q96KK3, Q9BQ31, Q6PIU1, Q8TDN2, Q14722, Q13303"
dihydrotachysterol	DB01070	anti-tetany substance 10 | dihidrotaquisterol | dihydrotachysterol | dihydrotachysterolum			P11473
mequitazine	DB01071	mequitazina | mequitazine | mequitazinum	9606.ENSP00000380247	HRH1	P35367
fludarabine	DB01073	2-f-araa | 2-fluoro ara-a | fludarabina | fludarabine | fludarabinum	"9606.ENSP00000300738, 9606.ENSP00000368358, 9606.ENSP00000286648"	"RRM1, POLA1, DCK"	"P23921, P09884, P27707"
perhexiline	DB01074	perhexilene | perhexilina | perhexiline | perhexilinum	"9606.ENSP00000262186, 9606.ENSP00000360541, 9606.ENSP00000265641"	"KCNH2, CPT2, CPT1A"	"Q12809, P23786, P50416"
diphenhydramine	DB01075	"2-(benzhydryloxy)-n,n-dimethylethylamine | 2-diphenylmethoxy-n,n-demthylethanamine | difenhidramina | diphenhydramine | diphenhydraminum | n-(2-(diphenylmethoxy)ethyl)-n,n-dimethylamine | o-benzhydryldimethylaminoethanol | î±-(2-dimethylaminoethoxy)diphenylmethane | î²-dimethylaminoethanol diphenylmethyl ether | î²-dimethylaminoethyl benzhydryl ether"	"9606.ENSP00000380247, 9606.ENSP00000399745"	"HRH1, CHRM2"	"P35367, P08172"
atorvastatin	DB01076	atorvastatin | atorvastatina | atorvastatine | atorvastatinum	"9606.ENSP00000287936, 9606.ENSP00000353731, 9606.ENSP00000430432, 9606.ENSP00000242057, 9606.ENSP00000356959"	"HMGCR, DPP4, HDAC2, AHR, NR1I3"	"P04035, P27487, Q92769, P35869, Q14994"
